stop_code,stop_name,stop_lat,stop_lon
9373,Bartillon at Kinsman,43.12547,-89.322961
9388,Walsh at Nakoosa,43.109935,-89.310114
9405,Wright at E Washington,43.113962,-89.330488
0941,W Johnson at N Frances,43.071894,-89.395489
9420,N Thompson at Golden Leaf,43.111937,-89.296351
9432,Lien at Zeier,43.121163,-89.30046
9437,O'Keeffe at Linnerud,43.174491,-89.244818
F938,Anderson at Wright,43.120238,-89.329504
9439,N Thompson at Jana,43.108626,-89.298765
9442,Eagan at E Washington,43.126123,-89.310211
9472,American at Eastpark,43.147351,-89.290045
9479,Commercial at Nakoosa,43.108739,-89.314673
9486,Eastpark at Biltmore,43.151801,-89.299058
9490,O'Keeffe at New Town,43.163525,-89.261052
9497,W Main at S Grand,43.175894,-89.263965
9509,High Crossing at Cross Hill,43.142868,-89.28385
F918,Wittwer at Walbridge,43.102496,-89.311386
9528,O'Keeffe at Prairie,43.171594,-89.248151
9531,Lien at Eagan,43.120882,-89.306933
9535,S Grand at Blue Aster,43.171947,-89.264765
9543,O'Keeffe at Wild Iris,43.15949,-89.263496
9549,Hayes at Crosswalk,43.142305,-89.303289
9552,E Washington at Rethke,43.109372,-89.335929
F954,E Washington at Mendota,43.118826,-89.321909
0956,Koster at Bram,43.045572,-89.388639
9566,Independence at E Washington,43.128396,-89.308934
F968,N Thompson at Swanton,43.103793,-89.300429
F953,E Washington at Mendota,43.118942,-89.321031
F957,E Washington at Portage,43.123735,-89.313995
9591,Commercial at Redland,43.106564,-89.305043
F904,N Thompson at Meadows,43.102625,-89.296084
0961,N Broom at W Washington,43.071624,-89.389045
F912,Wittwer at Milwaukee,43.098726,-89.310441
9618,Independence at Melody,43.13025,-89.310241
0962,Regent at N Park,43.067768,-89.40149
9621,O'Keeffe at Brown Bear,43.164942,-89.255634
9629,Nakoosa at Commercial,43.10838,-89.314377
9633,Hayes at Portage,43.14254,-89.305995
9636,N Thompson at Oak Valley,43.11593,-89.296467
9642,Wright at Straubel,43.117167,-89.330718
9645,N Thompson at Oak Valley,43.116154,-89.296343
9651,Eastpark at U W Health,43.153513,-89.301094
F962,Swanton at N Thompson,43.104151,-89.300749
0967,W Washington at S Bedford,43.068957,-89.392096
9670,Melody at Stuart,43.130763,-89.312835
9701,High Crossing at E Springs,43.131985,-89.297648
9715,Portage at Village,43.140501,-89.309248
9717,Eastpark at Biltmore,43.152258,-89.298958
9719,Eagan at Lien,43.121258,-89.307155
9723,Portage at Rieder,43.135761,-89.31552
9725,Kinsman at Wright,43.125574,-89.329781
9733,Walsh at Commercial,43.106989,-89.309872
F940,Commercial N at N Fair Oaks,43.107077,-89.33114
